cxcore::ET-AF,,Afar,Afar
cxcore::ET-AM,,Amara,Amara
cxcore::ET-BE,,Benshangul\u002dGumaz,Benshangul\u002dGumaz
cxcore::ET-GA,,Gambela Peoples,Région des peuples Gambela
cxcore::ET-HA,,Harari People,Région du peuple Harari
cxcore::ET-OR,,Oromia,Oromia
cxcore::ET-SO,,Somali,Région Somali
cxcore::ET-TI,,Tigrai,Tigrai
cxcore::ET-SN,,SNNPR,SNNPR
"cxcore::FI-FIN,phpcommon::country/finland",,Finland,Finlande
cxcore::GM-B,,Banjul,Banjul
cxcore::GM-M,,Central River,Rivière centrale
cxcore::GM-L,,Lower River,Rivière inférieure
cxcore::GM-N,,North Bank,Rive nord
cxcore::GM-U,,Upper River,Rivière supérieure
"cxcore::DE-DEU,phpcommon::country/germany",,Germany,Allemagne
cxcore::GH-AH,,Ashanti,Région Ashanti
cxcore::GH-BA,,Brong-Ahafo,Région de Brong Ahafo
cxcore::UG-C,,Central,Province Centrale
cxcore::UG-E,,Eastern,Province orientale
cxcore::GH-AA,,Greater Accra,Région du Grand Accra
cxcore::UG-N,,Northern,Province Septentrionale
cxcore::GH-UE,,Upper East,Région du Haut Ghana oriental
cxcore::GH-UW,,Upper West,Région du Haut Ghana occidental
cxcore::GH-TV,,Volta,Volta
cxcore::UG-W,,Western,Province Occidentale
cxcore::GT-AV,,Alta Verapaz,département dAlta Verapaz
cxcore::GT-BV,,Baja Verapaz,département de Baja Verapaz
cxcore::GT-CM,,Chimaltenango,département de Chimaltenango
cxcore::GT-CQ,,Chiquimula,département de Chiquimula
cxcore::GT-PR,,El Progreso,département dEl Progreso
cxcore::GT-ES,,Escuintla,Departement dEscuintla
"cxcore::GT-GU,phpcommon::country/guatemala,general-locstrings::country_name_guatemala",,Guatemala,département de Guatemala
cxcore::GT-HU,,Huehuetenango,département de Huehuetenango
cxcore::GT-IZ,,Izabal,département dIzabal
cxcore::GT-JA,,Jalapa,département de Jalapa
cxcore::GT-JU,,Jutiapa,département de Jutiapa
cxcore::GT-PE,,Pet\u00e9n,Pet\u00e9n
cxcore::GT-QZ,,Quetzaltenango,département de Quetzaltenango
cxcore::GT-QC,,Quich\u00e9,clé
cxcore::GT-RE,,Retalhuleu,département de Retalhuleu
cxcore::GT-SA,,Sacatep\u00e9quez,Sacatep\u00e9quez
cxcore::GT-SM,,San Marcos,département de San Marcos
cxcore::GT-SR,,Santa Rosa,département de Santa Rosa
cxcore::GT-SO,,Solol\u00e1,clé
cxcore::GT-SU,,Suchitep\u00e9quez,Suchitep\u00e9quez
cxcore::GT-TO,,Totonicap\u00e1n,Totonicap\u00e1n
cxcore::GT-ZA,,Zacapa,département de Zacapa
cxcore::HT-AR,,Artibonite,Artibonite
cxcore::HT-CE,,Centre,centre
cxcore::HT-GA,,Grand Anse,Grand Anse
cxcore::HT-NI,,Nippes,Nippes
cxcore::HT-ND,,Nord,Nord
cxcore::HT-NE,,Nord-Est,Nord-Est
cxcore::HT-NO,,Nord-Ouest,Nord-Ouest
cxcore::HT-OU,,Ouest,Ouest
cxcore::HT-SD,,Sud,Sud
cxcore::HT-SE,,Sud-Est,Sud-Est
cxcore::HN-AT,,Atl\u00e1ntida,Atl\u00e1ntida
cxcore::HN-CH,,Choluteca,département de Choluteca
cxcore::PA-3,,Col\u00f3n,Col\u00f3n
cxcore::HN-CM,,Comayagua,département de Comayagua
cxcore::HN-CP,,Cop\u00e1n,Cop\u00e1n
cxcore::HN-CR,,Cort\u00e9s,Cort\u00e9s
cxcore::HN-EP,,El Para\u00edso,El Para\u00edso
cxcore::HN-FM,,Francisco Moraz\u00e1n,Francisco Moraz\u00e1n
cxcore::HN-GD,,Gracias a Dios,département de Gracias a Dios
cxcore::HN-IN,,Intibuc\u00e1,clé
cxcore::HN-IB,,Islas de la Bah\u00eda,Islas de la Bah\u00eda
cxcore::HN-LE,,Lempira,département de Lempira
cxcore::HN-OC,,Ocotepeque,département dOcotepeque
cxcore::HN-OL,,Olancho,département dOlancho
cxcore::HN-SB,,Santa B\u00e1rbara,Santa B\u00e1rbara
cxcore::HN-VA,,Valle,département de Valle
cxcore::HN-YO,,Yoro,département de Yoro
"cxcore::HK-HKG,phpcommon::country/hong_kong,general-locstrings::country_name_hong_kong",,Hong Kong,Hong Kong
cxcore::HU-BU,,Budapest,Budapest
cxcore::HU-BK,,B\xe1cs-Kiskun,B\xe1cs-Kiskun
cxcore::HU-BA,,Baranya,Baranya
cxcore::HU-BE,,B\xe9k\xe9s,B\xe9k\xe9s
cxcore::HU-BZ,,Borsod-Aba\xfaj-Zempl\xe9n,Borsod-Aba\xfaj-Zempl\xe9n
cxcore::HU-CS,,Csongr\xe1d,Csongr\xe1d
cxcore::HU-FE,,Fej\xe9r,Fej\xe9r
cxcore::HU-GS,,Gy\u0151r-Moson-Sopron,Gy\u0151r-Moson-Sopron
cxcore::HU-HB,,Hajd\xfa-Bihar,Hajd\xfa-Bihar
cxcore::HU-HE,,Heves,Heves
cxcore::HU-JN,,J\xe1sz-Nagykun-Szolnok,J\xe1sz-Nagykun-Szolnok
cxcore::HU-KE,,Kom\xe1rom-Esztergom,Kom\xe1rom-Esztergom
cxcore::HU-NO,,N\xf3gr\xe1d,N\xf3gr\xe1d
cxcore::HU-PE,,Pest,Pest
cxcore::HU-SO,,Somogy,Somogy
cxcore::HU-SZ,,Szabolcs-Szatm\xe1r-Bereg,Szabolcs-Szatm\xe1r-Bereg
cxcore::HU-TO,,Tolna,Tolna
cxcore::HU-VA,,Vas,Vas
cxcore::HU-VM,,Veszpr\xe9m,Veszpr\xe9m
cxcore::HU-ZA,,Zala,Zala
cxcore::HU-BC,,B\xe9k\xe9scsaba,B\xe9k\xe9scsaba
cxcore::HU-DE,,Debrecen,Debrecen
cxcore::HU-DU,,Duna\xfajv\xe1ros,Duna\xfajv\xe1ros
cxcore::HU-EG,,Eger,Eger
cxcore::HU-ER,,\xc9rd,\xc9rd
cxcore::HU-GY,,Gy\u0151r,Gy\u0151r
cxcore::HU-HV,,H\xf3dmez\u0151v\xe1s\xe1rhely,H\xf3dmez\u0151v\xe1s\xe1rhely
cxcore::HU-KV,,Kaposv\xe1r,Kaposv\xe1r
cxcore::HU-KM,,Kecskem\xe9t,Kecskem\xe9t
cxcore::HU-MI,,Miskolc,Miskolc
cxcore::HU-NK,,Nagykanizsa,Nagykanizsa
cxcore::HU-NY,,Ny\xedregyh\xe1za,Ny\xedregyh\xe1za
cxcore::HU-PS,,P\xe9cs,P\xe9cs
cxcore::HU-ST,,Salg\xf3tarj\xe1n,Salg\xf3tarj\xe1n
cxcore::HU-SN,,Sopron,Sopron
cxcore::HU-SD,,Szeged,Szeged
cxcore::HU-SF,,Sz\xe9kesfeh\xe9rv\xe1r,Sz\xe9kesfeh\xe9rv\xe1r
cxcore::HU-SS,,Szeksz\xe1rd,Szeksz\xe1rd
cxcore::HU-SK,,Szolnok,Szolnok
cxcore::HU-SH,,Szombathely,Szombathely
cxcore::HU-TB,,Tatab\xe1nya,Tatab\xe1nya
cxcore::HU-ZE,,Zalaegerszeg,Zalaegerszeg
cxcore::IN-AP,,Andhra Pradesh,Andhra Pradesh
cxcore::IN-AR,,Arunchal Pradesh,Arunchal Pradesh
cxcore::IN-AS,,Assam,Assam
cxcore::IN-BR,,Bihar,Bihar
cxcore::IN-CT,,Chhattisgarh,Chhattisgarh
cxcore::IN-GA,,Goa,Goa
cxcore::IN-GJ,,Gujarat,Gujarat
cxcore::IN-HR,,Haryana,Haryana
cxcore::IN-HP,,Himachal Pradesh,Himachal Pradesh
cxcore::IN-JK,,Jammu and Kashmir,Jammu-et-Cachemire
cxcore::IN-JH,,Jharkhand,Jharkhand
cxcore::IN-KA,,Karnataka,Karnataka
cxcore::IN-KL,,Kerala,Kerala
cxcore::IN-MP,,Madhya Pradesh,Madhya Pradesh
cxcore::IN-MH,,Maharashtra,Maharashtra
cxcore::IN-MN,,Manipur,Manipur
cxcore::IN-ML,,Meghalaya,Meghalaya
cxcore::IN-MZ,,Mizoram,Mizoram
cxcore::IN-NL,,Nagaland,Nagaland
cxcore::IN-OR,,Odisha,Odisha
cxcore::PK-PB,,Punjab,Pendjab
cxcore::IN-RJ,,Rajasthan,Rajasthan
cxcore::IN-SK,,Sikkim,Sikkim
cxcore::IN-TN,,Tamil Nadu,Tamil Nadu
cxcore::IN-TR,,Tripura,Tripura
cxcore::IN-UT,,Uttarakhand,Uttarakhand
cxcore::IN-UP,,Uttar Pradesh,Uttar Pradesh
cxcore::IN-WB,,West Bengal,Bengale-Occidental
cxcore::IN-AN,,Andaman and Nicobar Islands,Îles Andaman-et-Nicobar
cxcore::IN-CH,,Chandigarh,Chandigarh
cxcore::IN-DN,,Dadra and Nagar Haveli,Dadra et Nagar Haveli
cxcore::IN-DD,,Daman and Diu,Daman et Diu
cxcore::IN-DL,,Delhi,Delhi
cxcore::IN-LD,,Lakshadweep,Lakshadweep
cxcore::IN-PY,,Puducherry,Territoire de Pondichéry
cxcore::IN-TG,,Telangana,Telangana
cxcore::ID-AC,,Aceh,Aceh
cxcore::ID-BA,,Bali,province de Bali
cxcore::ID-BB,,Bangka\u2013Belitung Islands,Bangka\u2013Belitung Islands
cxcore::ID-BT,,Banten,Banten
cxcore::ID-BE,,Bengkulu,Bengkulu (province)
cxcore::ID-GO,,Gorontalo,Gorontalo
cxcore::ID-JA,,Jambi,Jambi
cxcore::ID-JB,,West Java,Java occidental
cxcore::ID-JT,,Central Java,Java central
cxcore::ID-JI,,East Java,Java oriental
cxcore::ID-KB,,West Kalimantan,Kalimantan occidental
cxcore::ID-KS,,South Kalimantan,Kalimantan du Sud
cxcore::ID-KT,,Central Kalimantan,Kalimantan central
cxcore::ID-KI,,East Kalimantan,Kalimantan oriental
cxcore::ID-KU,,North Kalimantan,Nord Kalimantan
cxcore::ID-KR,,Riau Islands,Îles Riau
cxcore::ID-LA,,Lampung,Lampung
cxcore::ID-MA,,Maluku,Moluques
cxcore::ID-MU,,North Maluku,Moluques du Nord
cxcore::ID-NB,,West Nusa Tenggara,Petites Îles de la Sonde occidentales
cxcore::ID-NT,,East Nusa Tenggara,Petites Îles de la Sonde orientales
cxcore::ID-PA,,Papua,Papouasie
cxcore::ID-PB,,West Papua,Papouasie occidentale
cxcore::ID-RI,,Riau,Riau
cxcore::ID-SR,,West Sulawesi,Sulawesi occidental
cxcore::ID-SN,,South Sulawesi,Sulawesi du Sud
cxcore::ID-ST,,Central Sulawesi,Sulawesi central
cxcore::ID-SG,,Southeast Sulawesi,Sulawesi du Sud-Est
cxcore::ID-SA,,North Sulawesi,Sulawesi du Nord
cxcore::ID-SB,,West Sumatra,Sumatra occidental
cxcore::ID-SS,,South Sumatra,Sumatra du Sud
cxcore::ID-SU,,North Sumatra,Sumatra du Nord
cxcore::ID-JK,,Jakarta,Jakarta
cxcore::ID-YO,,Yogyakarta,Territoire spécial de Yogyakarta
"cxcore::IE-IRL,phpcommon::country/ireland",,Ireland,Irlande
"cxcore::IT-ITA,phpcommon::country/italy",,Italy,Italie
cxcore::KE-01,,Baringo,Baringo
cxcore::KE-02,,Bomet,Bomet
cxcore::KE-03,,Bungoma,Bungoma (comté du Kenya)
cxcore::KE-04,,Busia,Busia
cxcore::KE-05,,Elgeyo\u002dMarakwet,Elgeyo\u002dMarakwet
cxcore::KE-06,,Embu,Embu
cxcore::KE-07,,Garissa,Garissa
cxcore::KE-08,,Homa Bay,Homa Bay (district du Kenya)
cxcore::KE-09,,Isiolo,Isiolo
cxcore::KE-10,,Kajiado,Kajiado
cxcore::KE-11,,Kakamega,Kakamega
cxcore::KE-12,,Kericho,Kericho
cxcore::KE-13,,Kiambu,Kiambu
cxcore::KE-14,,Kilifi,Kilifi
cxcore::KE-15,,Kirinyaga,Kirinyaga
cxcore::KE-16,,Kisii,Kisii
cxcore::KE-17,,Kisumu,Kisumu (district du Kenya)
cxcore::KE-18,,Kitui,Kitui
cxcore::KE-19,,Kwale,Kwale
cxcore::KE-20,,Laikipia,Laikipia
cxcore::KE-21,,Lamu,Lamu
cxcore::KE-22,,Machakos,Machakos
cxcore::KE-23,,Makueni,Makueni
cxcore::KE-24,,Mandera,Mandera
cxcore::KE-25,,Marsabit,Marsabit
cxcore::KE-26,,Meru,Meru
cxcore::KE-27,,Migori,Migori
cxcore::KE-28,,Mombasa,Mombasa District
cxcore::KE-29,,Murang\u0027a,Murang\u0027a
cxcore::KE-30,,Nairobi City,Ville de Nairobi
cxcore::KE-31,,Nakuru,Nakuru
cxcore::KE-32,,Nandi,District de Nandi
cxcore::KE-33,,Narok,Narok
cxcore::KE-34,,Nyamira,Nyamira
cxcore::KE-35,,Nyandarua,District de Nyandarua
cxcore::KE-36,,Nyeri,Nyeri District
cxcore::KE-37,,Samburu,Samburu
cxcore::KE-38,,Siaya,Siaya
cxcore::KE-39,,Taita\u002dTaveta,Taita\u002dTaveta
cxcore::KE-40,,Tana River,Tana River
cxcore::KE-41,,Tharaka\u002dNithi,Tharaka\u002dNithi
cxcore::KE-42,,Trans Nzoia,District de Trans-Nzoia
cxcore::KE-43,,Turkana,Turkana
cxcore::KE-44,,Uasin Gishu,Uasin Gishu
cxcore::KE-45,,Vihiga,Vihiga
cxcore::KE-46,,Wajir,Wajir
cxcore::KE-47,,West Pokot,West Pokot
cxcore::MY-14,,Kuala Lumpur,Kuala Lumpur
cxcore::MY-15,,Labuan,Labuan
cxcore::MY-16,,Putrajaya,Putrajaya
cxcore::MY-01,,Johor,Johor
cxcore::MY-02,,Kedah,Kedah
cxcore::MY-03,,Kelantan,Kelantan
cxcore::MY-04,,Melaka,Melaka
cxcore::MY-05,,Negeri Sembilan,Negeri Sembilan
cxcore::MY-06,,Pahang,Pahang
cxcore::MY-08,,Perak,Perak
cxcore::MY-09,,Perlis,Perlis
cxcore::MY-07,,Pulau Pinang,Pulau Pinang
cxcore::MY-12,,Sabah,Sabah
cxcore::MY-13,,Sarawak,Sarawak
cxcore::MY-10,,Selangor,Selangor
cxcore::MY-11,,Terengganu,Terengganu
cxcore::MX-AGU,,Aguascalientes,Aguascalientes
cxcore::MX-BCN,,Baja California,Basse-Californie
cxcore::MX-BCS,,Baja California Sur,Basse-Californie du Sud
cxcore::MX-CAM,,Campeche,Campeche
cxcore::MX-CHP,,Chiapas,Chiapas
cxcore::MX-CHH,,Chihuahua,Chihuahua
cxcore::MX-COA,,Coahuila,Coahuila
cxcore::MX-COL,,Colima,Colima
cxcore::MX-DUR,,Durango,Durango
cxcore::MX-GUA,,Guanajuato,Guanajuato
cxcore::MX-GRO,,Guerrero,Guerrero
cxcore::MX-HID,,Hidalgo,Hidalgo
cxcore::MX-JAL,,Jalisco,Jalisco
cxcore::MX-MEX,,M\u00e9xico,M\u00e9xico
cxcore::MX-MIC,,Michoac\u00e1n,Michoac\u00e1n
cxcore::MX-MOR,,Morelos,Morelos
cxcore::MX-NAY,,Nayarit,Nayarit
cxcore::MX-NLE,,Nuevo Le\u00f3n,Nuevo Le\u00f3n
cxcore::MX-OAX,,Oaxaca,Oaxaca
cxcore::MX-PUE,,Puebla,Puebla
cxcore::MX-QUE,,Quer\u00e9taro,Quer\u00e9taro
cxcore::MX-ROO,,Quintana Roo,Quintana Roo
cxcore::MX-SLP,,San Luis Potos\u00ed,San Luis Potos\u00ed
cxcore::MX-SIN,,Sinaloa,Sinaloa
cxcore::MX-SON,,Sonora,Sonora
cxcore::MX-TAB,,Tabasco,Tabasco
cxcore::MX-TAM,,Tamaulipas,Tamaulipas
cxcore::MX-TLA,,Tlaxcala,Tlaxcala
cxcore::MX-VER,,Veracruz,Veracruz
cxcore::MX-YUC,,Yucat\u00e1n,Yucat\u00e1n
cxcore::MX-ZAC,,Zacatecas,Zacatecas
cxcore::MA-AGD,,Agadir-Ida-Outanane,Agadir-Ida-Outanane
cxcore::MA-AOU,,Aousserd,province dAousserd
cxcore::MA-ASZ,,Assa-Zag,province dAssa-Zag
cxcore::MA-AZI,,Azilal,province dAzilal
cxcore::MA-BEM,,Beni Mellal,Beni Mellal
cxcore::MA-BER,,Berkane,province de Berkane
cxcore::MA-BES,,Ben Slimane,province de Benslimane
cxcore::MA-BOD,,Boujdour,province de Boujdour
cxcore::MA-BOM,,Boulemane,province de Boulemane
cxcore::MA-CAS,,Casablanca,Casablanca
cxcore::MA-CHE,,Chefchaouen,province de Chefchaouen
cxcore::MA-CHI,,Chichaoua,province de Chichaoua
cxcore::MA-CHT,,Chtouka-Ait Baha,Chtouka-Ait Baha
cxcore::MA-ERR,,Errachidia,province dErrachidia
cxcore::MA-ESI,,Essaouira,province dEssaouira
cxcore::MA-ESM,,Es Smara,Es Smara
cxcore::MA-FES,,F\xe8s-Dar-Dbibegh,F\xe8s-Dar-Dbibegh
cxcore::MA-FIG,,Figuig,province de Figuig
cxcore::MA-GUE,,Guelmim,province de Guelmim
cxcore::MA-HAJ,,El Hajeb,province dEl Hajeb
cxcore::MA-HAO,,Al Haouz,province dAl Haouz
cxcore::MA-HOC,,Al Hoce\xefma,Al Hoce\xefma
cxcore::MA-IFR,,Ifrane,province dIfrane
cxcore::MA-JDI,,El Jadida,province dEl Jadida
cxcore::MA-JRA,,Jrada,Jrada
cxcore::MA-KEN,,K\xe9nitra,K\xe9nitra
cxcore::MA-KES,,Kelaat es Sraghna,Kelaat es Sraghna
cxcore::MA-KHE,,Khemisset,province de Khémisset
cxcore::MA-KHN,,Khenifra,Khenifra
cxcore::MA-KHO,,Khouribga,province de Khouribga
cxcore::MA-LAA,,La\xe2youne,La\xe2youne
cxcore::MA-LAR,,Larache,Larache
cxcore::MA-MED,,M\xe9diouna,M\xe9diouna
cxcore::MA-MOU,,Moulay Yacoub,province de Moulay Yaâcoub
cxcore::MA-NAD,,Nador,province de Nador
cxcore::MA-NOU,,Nouaceur,province de Nouaceur
cxcore::MA-OUA,,Ouarzazate,province de Ouarzazate
cxcore::MA-OUD,,Oued ed Dahab,Oued ed Dahab
cxcore::MA-SAF,,Safi,Safi
cxcore::MA-SEF,,Sefrou,province de Séfrou
cxcore::MA-SET,,Settat,province de Settat
cxcore::MA-SIK,,Sidi Kacem,province de Sidi Kacem
cxcore::MA-TAI,,Taourirt,province de Taourirt
cxcore::MA-TAO,,Taounate,province de Taounate
cxcore::MA-TAR,,Taroudannt,Taroudannt
cxcore::MA-TAT,,Tata,province de Tata
cxcore::MA-TAZ,,Taza,province de Taza
cxcore::MA-TIZ,,Tiznit,province de Tiznit
cxcore::MA-TNT,,Tan-Tan,province de Tan-Tan
cxcore::MA-ZAG,,Zagora,province de Zagora
cxcore::MA-FAH,,Fahs-Beni Makada,province de Fahs-Anjra
cxcore::MA-INE,,Inezgane-Ait Melloul,Inezgane-Ait Melloul
cxcore::MA-MMD,,Marrakech-Medina,Marrakech
cxcore::MA-MMN,,Marrakech-Menara,Marrakech²
cxcore::MA-MEK,,Mekn\xe8s,Mekn\xe8s
cxcore::MA-MOH,,Mohammadia,Mohammadia
cxcore::MA-OUJ,,Oujda-Angad,Oujda
cxcore::MA-RAB,,Rabat,Rabat²
cxcore::MA-SAL,,Sal\xe9,clé
cxcore::MA-SKH,,Skhirate-T\xe9mara,Skhirate-T\xe9mara
cxcore::MA-SYB,,Sidi Youssef Ben Ali,Marrakech³
cxcore::MA-TET,,T\xe9touan,T\xe9touan
cxcore::MA-TNG,,Tanger-Assilah,Tanger-Assilah
cxcore::MA-01,,Tanger-T\xe9touan-Al Hoce\xefma,Tanger-T\xe9touan-Al Hoce\xefma
cxcore::MA-02,,Oriental,Oriental
cxcore::MA-03,,F\xe8s-Mekn\xe8s,F\xe8s-Mekn\xe8s
cxcore::MA-04,,Rabat-Sal\xe9-K\xe9nitra,Rabat-Sal\xe9-K\xe9nitra
cxcore::MA-05,,B\xe9ni-Mellal-Kh\xe9nifra,B\xe9ni-Mellal-Kh\xe9nifra
cxcore::MA-06,,Casablanca-Settat,Casablanca-Settat
cxcore::MA-07,,Marrakech-Safi,Marrakech-Safi
cxcore::MA-08,,Dr\xe2a-Tafilalet,Dr\xe2a-Tafilalet
cxcore::MA-09,,Souss-Massa,Souss-Massa
cxcore::MA-10,,Guelmim-Oued Noun,Guelmim-Oued Noun
cxcore::MA-11,,La\xe2youne-Sakia El Hamra,La\xe2youne-Sakia El Hamra
cxcore::MA-12,,Dakhla-Oued Ed-Dahab,Dakhla-Oued Ed-Dahab
cxcore::NP-BA,,Bagmati,Bagmati
cxcore::NP-BH,,Bheri,Bheri
cxcore::NP-DH,,Dhawalagiri,Dhawalagiri
cxcore::NP-GA,,Gandaki,Gandaki
cxcore::NP-JA,,Janakpur,Janakpur
cxcore::NP-KA,,Karnali,Karnali
cxcore::NP-KO,,Kosi,Koshi
cxcore::NP-LU,,Lumbini,Lumbinî
cxcore::NP-MA,,Mahakali,Mahakali
cxcore::NP-ME,,Mechi,Mechi
cxcore::NP-RA,,Rapti,Rapti
cxcore::NP-SA,,Sagarmatha,Sagarmatha
cxcore::NP-SE,,Seti,Seti
"cxcore::NL-NLD,phpcommon::country/netherlands",,Netherlands,Pays-Bas
cxcore::NZ-AUK,,Auckland,Auckland
cxcore::NZ-BOP,,Bay of Plenty,baie de lAbondance
cxcore::NZ-CAN,,Canterbury,Canterbury
cxcore::NZ-GIS,,Gisborne,Gisborne
cxcore::NZ-HKB,,Hawke's Bay,Hawke's Bay
cxcore::NZ-MBH,,Marlborough,Marlborough
cxcore::NZ-MWT,,Manawatu-Wanganui,Manawatu-Wanganui
cxcore::NZ-NSN,,Nelson,Nelson
cxcore::NZ-NTL,,Northland,Northland
cxcore::NZ-OTA,,Otago,Otago
cxcore::NZ-STL,,Southland,Southland
cxcore::NZ-TAS,,Tasman,Tasman
cxcore::NZ-TKI,,Taranaki,Taranaki
cxcore::NZ-WKO,,Waikato,Waikato
cxcore::NZ-WGN,,Wellington,Wellington
cxcore::NZ-WTC,,West Coast,West Coast
cxcore::NZ-CIT,,Chatham Islands Territory,Territoire des îles Chatham
cxcore::NI-BO,,Boaco,département de Boaco
cxcore::NI-CA,,Carazo,département de Carazo
cxcore::NI-CI,,Chinandega,département de Chinandega
cxcore::NI-CO,,Chontales,département de Chontales
cxcore::NI-ES,,Estel\u00ed,Estel\u00ed
cxcore::NI-GR,,Granada,département de Granada
cxcore::NI-JI,,Jinotega,département de Jinotega
cxcore::NI-LE,,Le\u00f3n,Le\u00f3n
cxcore::NI-MD,,Madriz,département de Madriz
cxcore::NI-MN,,Managua,département de Managua
cxcore::NI-MS,,Masaya,département de Masaya
cxcore::NI-MT,,Matagalpa,département de Matagalpa
cxcore::NI-NS,,Nueva Segovia,département de Nueva Segovia
cxcore::NI-SJ,,R\u00edo San Juan,R\u00edo San Juan
cxcore::NI-RI,,Rivas,département de Rivas
cxcore::NI-AN,,Atl\u00e1ntico Norte,Atl\u00e1ntico Norte
cxcore::NI-AS,,Atl\u00e1ntico Sur,Atl\u00e1ntico Sur
cxcore::NG-FC,,Abuja Capital Territory,Territoire de la capitale fédérale d'Abuja
cxcore::NG-AB,,Abia,État dAbia
cxcore::NG-AD,,Adamawa,État dAdamawa
cxcore::NG-AK,,Akwa Ibom,État dAkwa Ibom
cxcore::NG-AN,,Anambra,État dAnambra
cxcore::NG-BA,,Bauchi,État de Bauchi
cxcore::NG-BY,,Bayelsa,État de Bayelsa
cxcore::NG-BE,,Benue,État de Benue
cxcore::NG-BO,,Borno,État de Borno
cxcore::NG-CR,,Cross River,État de Cross River
cxcore::NG-DE,,Delta,état du Delta
cxcore::NG-EB,,Ebonyi,État dEbonyi
cxcore::NG-ED,,Edo,état dEdo
cxcore::NG-EK,,Ekiti,État dEkiti
cxcore::NG-EN,,Enugu,État dEnugu
cxcore::NG-GO,,Gombe,État de Gombe
cxcore::NG-IM,,Imo,État dImo
cxcore::NG-JI,,Jigawa,État de Jigawa
cxcore::NG-KD,,Kaduna,État de Kaduna
cxcore::NG-KN,,Kano,État de Kano
cxcore::NG-KT,,Katsina,État de Katsina
cxcore::NG-KE,,Kebbi,État de Kebbi
cxcore::NG-KO,,Kogi,État de Kogi
cxcore::NG-KW,,Kwara,État de Kwara
cxcore::NG-LA,,Lagos,État de Lagos
cxcore::NG-NA,,Nasarawa,État de Nassarawa
"cxcore::NG-NI,phpcommon::country/niger",,Niger,État de Niger
cxcore::NG-OG,,Ogun,État dOgun
cxcore::NG-ON,,Ondo,État dOndo
cxcore::NG-OS,,Osun,État dOsun
cxcore::NG-OY,,Oyo,État dOyo
cxcore::NG-PL,,Plateau,État du Plateau
cxcore::NG-RI,,Rivers,État de Rivers
cxcore::NG-SO,,Sokoto,État de Sokoto
cxcore::NG-TA,,Taraba,État de Taraba
cxcore::NG-YO,,Yobe,État de Yobe
cxcore::NG-ZA,,Zamfara,État de Zamfara
"cxcore::NO-NOR,phpcommon::country/norway",,Norway,Norvège
cxcore::PK-IS,,Islamabad,Territoire fédéral dIslamabad
cxcore::PK-BA,,Balochistan,Baloutchistan
cxcore::PK-KP,,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa
cxcore::PK-SD,,Sindh,Sind
cxcore::PK-TA,,Federally Administered Tribal Areas,Régions tribales
cxcore::PK-JK,,Azad Kashmir,Azad Cachemire
cxcore::PK-GB,,Gilgit\u002dBaltistan,Gilgit\u002dBaltistan
cxcore::PA-1,,Bocas del Toro,Bocas del Toro
cxcore::PA-4,,Chiriqu\u00ed,Chiriqu\u00ed
cxcore::PA-2,,Cocl\u00e9,clé
cxcore::PA-5,,Dari\u00e9n,Dari\u00e9n
cxcore::PA-6,,Herrera,Herrera
cxcore::PA-7,,Los Santos,Los Santos
cxcore::PA-8,,Panam\u00e1,clé
cxcore::PA-9,,Veraguas,Veraguas
cxcore::PA-10,,Panam\u00e1 Oeste,Panam\u00e1 Oeste
cxcore::PA-EM,,Ember\u00e1,clé
cxcore::PA-KY,,Guna Yala,Kuna Yala
cxcore::PA-NB,,Ng\u00f6be-Bugl\u00e9,clé
cxcore::PY-ASU,,Asuncion,Asuncion
cxcore::PY-16,,Alto Paraguay,Alto Paraguay
cxcore::PY-10,,Alto Parana,Alto Parana
cxcore::PY-13,,Amambay,Amambay
cxcore::PY-19,,Boqueron,Boqueron
cxcore::PY-5,,Caaguazu,Caaguazu
cxcore::PY-6,,Caazapa,Caazapa
cxcore::PY-14,,Canindeyu,Canindeyu
cxcore::PY-1,,Concepcion,Concepcion
cxcore::PY-3,,Cordillera,Cordillera
cxcore::PY-4,,Guaira,Guaira
cxcore::PY-7,,Itapua,Itapua
cxcore::PY-12,,Neembucu,Neembucu
cxcore::PY-9,,Paraguari,Paraguari
cxcore::PY-15,,Presidente Hayes,Presidente Hayes
cxcore::PY-2,,San Pedro,San Pedro
cxcore::PE-LMA,,Municipalidad Metropolitana de Lima,Municipalidad Metropolitana de Lima
cxcore::PE-ANC,,Ancash,Région dAncash
cxcore::PE-APU,,Apur\u00edmac,Apur\u00edmac
cxcore::PE-ARE,,Arequipa,Région dArequipa
cxcore::PE-AYA,,Ayacucho,Région dAyacucho
cxcore::PE-CAJ,,Cajamarca,Région de Cajamarca
cxcore::PE-CUS,,Cusco [Cuzco],Cusco [Cuzco]
cxcore::PE-CAL,,El Callao,Région de Callao
cxcore::PE-HUV,,Huancavelica,Région de Huancavelica
cxcore::PE-HUC,,Hu\u00e1nuco,Hu\u00e1nuco
cxcore::PE-ICA,,Ica,Région dIca
cxcore::PE-JUN,,Jun\u00edn,Jun\u00edn
cxcore::PE-LAM,,Lambayeque,Région de Lambayeque
cxcore::PE-LIM,,Lima,province de Lima
cxcore::PE-LOR,,Loreto,région de Loreto
cxcore::PE-MDD,,Madre de Dios,Région de Madre de Dios
cxcore::PE-MOQ,,Moquegua,Région de Moquegua
